01/1985,0
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,0
07/1985,0
08/1985,0
09/1985,0
10/1985,0
11/1985,0
12/1985,0
01/1986,0
02/1986,0
03/1986,0
04/1986,0
05/1986,0
06/1986,0
07/1986,0
08/1986,0
09/1986,0
10/1986,0
11/1986,0
12/1986,0
01/1987,0
02/1987,0
03/1987,0
04/1987,0
05/1987,0
06/1987,0
07/1987,0
08/1987,0
09/1987,0
10/1987,0
11/1987,0
12/1987,0
01/1988,0
02/1988,0
03/1988,0
04/1988,0
05/1988,0
06/1988,0
07/1988,0
08/1988,0
09/1988,0
10/1988,0
11/1988,0
12/1988,0
01/1989,0
02/1989,0
03/1989,0
04/1989,0
05/1989,0
06/1989,0
07/1989,0
08/1989,0
09/1989,0
10/1989,0
11/1989,0
12/1989,0
01/1990,0
02/1990,0
03/1990,0
04/1990,0
05/1990,0
06/1990,0
07/1990,0
08/1990,0
09/1990,0
10/1990,0
11/1990,0
12/1990,0
01/1991,0
02/1991,0
03/1991,0
04/1991,0
05/1991,0
06/1991,0
07/1991,0
08/1991,0
09/1991,0
10/1991,0
11/1991,0
12/1991,0
01/1992,0
02/1992,0
03/1992,0
04/1992,0
05/1992,0
06/1992,0
07/1992,0
08/1992,0
09/1992,0
10/1992,0
11/1992,0
12/1992,1
01/1993,0
02/1993,0
03/1993,0
04/1993,0
05/1993,0
06/1993,0
07/1993,0
08/1993,0
09/1993,0
10/1993,0
11/1993,0
12/1993,1
01/1994,0
02/1994,0
03/1994,0
04/1994,0
05/1994,0
06/1994,0
07/1994,0
08/1994,0
09/1994,0
10/1994,0
11/1994,0
12/1994,2
01/1995,0
02/1995,0
03/1995,0
04/1995,0
05/1995,0
06/1995,0
07/1995,0
08/1995,0
09/1995,0
10/1995,0
11/1995,0
12/1995,2
01/1996,0
02/1996,1
03/1996,0
04/1996,0
05/1996,0
06/1996,0
07/1996,0
08/1996,1
09/1996,1
10/1996,0
11/1996,0
12/1996,2
01/1997,0
02/1997,0
03/1997,0
04/1997,0
05/1997,0
06/1997,0
07/1997,0
08/1997,0
09/1997,0
10/1997,1
11/1997,0
12/1997,2
01/1998,0
02/1998,0
03/1998,0
04/1998,0
05/1998,0
06/1998,0
07/1998,0
08/1998,0
09/1998,0
10/1998,0
11/1998,0
12/1998,3
01/1999,0
02/1999,1
03/1999,0
04/1999,0
05/1999,0
06/1999,0
07/1999,0
08/1999,1
09/1999,1
10/1999,0
11/1999,0
12/1999,2
01/2000,0
02/2000,0
03/2000,1
04/2000,0
05/2000,0
06/2000,1
07/2000,0
08/2000,0
09/2000,2
10/2000,0
11/2000,0
12/2000,1
01/2001,0
02/2001,0
03/2001,1
04/2001,0
05/2001,2
06/2001,0
07/2001,1
08/2001,0
09/2001,0
10/2001,0
11/2001,1
12/2001,1
01/2002,0
02/2002,1
03/2002,0
04/2002,0
05/2002,0
06/2002,0
07/2002,0
08/2002,0
09/2002,0
10/2002,3
11/2002,0
12/2002,2
01/2003,2
02/2003,0
03/2003,0
04/2003,1
05/2003,0
06/2003,0
07/2003,0
08/2003,0
09/2003,4
10/2003,0
11/2003,1
12/2003,2
01/2004,1
02/2004,1
03/2004,0
04/2004,1
05/2004,0
06/2004,1
07/2004,1
08/2004,0
09/2004,1
10/2004,1
11/2004,1
12/2004,1
01/2005,0
02/2005,0
03/2005,1
04/2005,0
05/2005,0
06/2005,2
07/2005,1
08/2005,0
09/2005,0
10/2005,1
11/2005,2
12/2005,2
01/2006,1
02/2006,0
03/2006,2
04/2006,7
05/2006,2
06/2006,3
07/2006,5
08/2006,2
09/2006,11
10/2006,7
11/2006,0
12/2006,8
01/2007,0
02/2007,5
03/2007,5
04/2007,4
05/2007,3
06/2007,5
07/2007,3
08/2007,5
09/2007,3
10/2007,4
11/2007,7
12/2007,6
01/2008,1
02/2008,3
03/2008,6
04/2008,7
05/2008,3
06/2008,4
07/2008,11
08/2008,4
09/2008,5
10/2008,9
11/2008,6
12/2008,6
01/2009,0
02/2009,1
03/2009,3
04/2009,2
05/2009,3
06/2009,0
07/2009,1
08/2009,0
09/2009,1
10/2009,3
11/2009,1
12/2009,6
01/2010,2
02/2010,2
03/2010,0
04/2010,3
05/2010,1
06/2010,2
07/2010,3
08/2010,5
09/2010,2
10/2010,1
11/2010,2
12/2010,1
01/2011,0
02/2011,2
03/2011,1
04/2011,1
05/2011,1
06/2011,0
07/2011,1
08/2011,1
09/2011,1
10/2011,0
11/2011,1
12/2011,1
01/2012,0
02/2012,2
03/2012,1
04/2012,0
05/2012,2
06/2012,0
07/2012,1
08/2012,0
09/2012,0
10/2012,0
11/2012,0
12/2012,0
01/2013,0
02/2013,0
03/2013,0
04/2013,1
05/2013,0
06/2013,0
07/2013,0
08/2013,1
09/2013,0
10/2013,0
11/2013,3
12/2013,5
01/2014,0
02/2014,3
03/2014,1
04/2014,2
05/2014,3
06/2014,0
07/2014,0
08/2014,1
09/2014,0
10/2014,0
11/2014,1
12/2014,2
01/2015,0
02/2015,0
03/2015,0
04/2015,0
05/2015,0
06/2015,0
07/2015,0
08/2015,0
09/2015,1
10/2015,0
11/2015,0
12/2015,0
01/2016,0
02/2016,0
